metric,group1,group2,mean_diff_group2_minus_group1,median_diff_group2_minus_group1,ci_low,ci_high,wins_group2,losses_group2,ties,wilcoxon_statistic,p_value,p_holm,reject_holm
recall1,bge_m3_hybrid_513_tk1000,nemotron_topk400,0.1381451559057221,0.0,0.1317881416363605,0.1445021701750837,2357,288,12332,3932640.0,0.0,0.0,True
recall1,bge_m3_hybrid_513_tk1000,rer_bge_m3_hybrid_513_nemotron,0.13226947986913268,0.0,0.126032433712978,0.13850652602528735,2257,276,12444,3784236.0,0.0,0.0,True
recall1,bge_m3_hybrid_513_tk1000,rer_bge_m3_hybrid_513_nemotron_tk1000,0.14942912465780864,0.0,0.14271257974783041,0.15614566956778686,2603,365,12009,4925127.5,0.0,0.0,True
recall1,bge_m3_hybrid_513_tk1000,rer_bge_m3_hybrid_513_nemotron_tk500,0.14902851038258663,0.0,0.14233010926537895,0.1557269114997943,2592,360,12025,4860540.0,0.0,0.0,True
recall1,bge_m3_hybrid_513_tk500,bge_m3_hybrid_514,-0.0545503104760633,0.0,-0.05988024345466592,-0.04922037749746067,443,1260,13274,6257818.0,3.1160116347084975e-87,8.101630250242094e-86,True
recall1,bge_m3_hybrid_513_tk500,reranked_results,0.09968618548440943,0.0,0.09308982886632242,0.10628254210249644,2091,598,12288,8152534.0,2.7399969734700208e-182,9.589989407145072e-181,True
recall1,bge_m3_hybrid_513_tk500,nemotron_topk400,0.1381451559057221,0.0,0.1317881416363605,0.1445021701750837,2357,288,12332,3932640.0,0.0,0.0,True
recall1,bge_m3_hybrid_513_tk500,rer_bge_m3_hybrid_513_nemotron,0.13226947986913268,0.0,0.126032433712978,0.13850652602528735,2257,276,12444,3784236.0,0.0,0.0,True
recall1,bge_m3_hybrid_513_tk500,rer_bge_m3_hybrid_513_nemotron_tk1000,0.14942912465780864,0.0,0.14271257974783041,0.15614566956778686,2603,365,12009,4925127.5,0.0,0.0,True
recall1,bge_m3_hybrid_513_tk500,rer_bge_m3_hybrid_513_nemotron_tk500,0.14902851038258663,0.0,0.14233010926537895,0.1557269114997943,2592,360,12025,4860540.0,0.0,0.0,True
recall1,bge_m3_hybrid_514,reranked_results,0.15423649596047273,0.0,0.14712583491944653,0.16134715700149893,2809,499,11669,6648426.5,0.0,0.0,True
recall1,bge_m3_hybrid_514,nemotron_topk400,0.1926954663817854,0.0,0.18561357007207352,0.19977736269149726,3185,299,11493,3957414.5,0.0,0.0,True
recall1,bge_m3_hybrid_514,rer_bge_m3_hybrid_513_nemotron,0.18681979034519597,0.0,0.17983850753017405,0.19380107316021788,3083,285,11609,3788647.5,0.0,0.0,True
recall1,bge_m3_hybrid_514,rer_bge_m3_hybrid_513_nemotron_tk1000,0.20397943513387193,0.0,0.19668783704997833,0.21127103321776552,3391,336,11250,4406304.0,0.0,0.0,True
recall1,bge_m3_hybrid_514,rer_bge_m3_hybrid_513_nemotron_tk500,0.20357882085864992,0.0,0.19630551634173374,0.2108521253755661,3379,330,11268,4330590.0,0.0,0.0,True
recall1,reranked_results,nemotron_topk400,0.03845897042131268,0.0,0.03253335240622709,0.044384588436398274,1324,748,12905,10428242.0,1.0632949447754037e-36,1.8076014061181864e-35,True
recall1,reranked_results,rer_bge_m3_hybrid_513_nemotron,0.032583294384723245,0.0,0.026872222005039813,0.03829436676440668,1204,716,13057,10036530.0,8.284021533241638e-29,1.325443445318662e-27,True
recall1,reranked_results,rer_bge_m3_hybrid_513_nemotron_tk1000,0.04974293917339921,0.0,0.043975394937017596,0.05551048340978083,1362,617,12998,8630596.0,5.969562013071897e-63,1.0745211623529415e-61,True
recall1,reranked_results,rer_bge_m3_hybrid_513_nemotron_tk500,0.049342324898177206,0.0,0.043624602813408395,0.05506004698294602,1342,603,13032,8445015.0,5.072061424384059e-63,9.636916706329711e-62,True
recall1,nemotron_topk400,rer_bge_m3_hybrid_513_nemotron,-0.005875676036589437,0.0,-0.008110171270402899,-0.0036411808027759745,102,190,14685,1512813.0,2.607498052896162e-07,2.6074980528961623e-06,True
recall1,nemotron_topk400,rer_bge_m3_hybrid_513_nemotron_tk1000,0.011283968752086532,0.0,0.008611028094324376,0.013956909409848688,294,125,14558,1846000.0,1.5039580627038932e-16,1.9551454815150613e-15,True
recall1,nemotron_topk400,rer_bge_m3_hybrid_513_nemotron_tk500,0.010883354476864525,0.0,0.008121739514306356,0.013644969439422694,305,142,14530,2095068.0,1.2617764267142968e-14,1.514131712057156e-13,True
recall1,rer_bge_m3_hybrid_513_nemotron,rer_bge_m3_hybrid_513_nemotron_tk1000,0.01715964478867597,0.0,0.013755283529492091,0.02056400604785985,469,212,14296,3103044.0,6.97398783242548e-23,9.763582965395672e-22,True
recall1,rer_bge_m3_hybrid_513_nemotron,rer_bge_m3_hybrid_513_nemotron_tk500,0.01675903051345396,0.0,0.013577832447632006,0.019940228579275916,423,172,14382,2524960.0,7.817899235839269e-25,1.1726848853758904e-23,True
recall1,rer_bge_m3_hybrid_513_nemotron_tk1000,rer_bge_m3_hybrid_513_nemotron_tk500,-0.00040061427522200706,0.0,-0.0019491925107044967,0.0011479639602604823,67,73,14837,998802.5,0.6120898800892568,1.0,False
recall5,bge_m3_hybrid_315,bge_m3_hybrid_414,-0.0206984042198037,0.0,-0.025350780510243934,-0.016046027929363466,480,790,13707,6884400.0,3.3538320899905985e-18,4.359981716987778e-17,True
recall5,bge_m3_hybrid_315,bge_m3_hybrid_424,-0.029378380182947184,0.0,-0.03421398589083859,-0.02454277447505578,469,909,13599,6701306.5,2.076370416918355e-32,4.9832890006040515e-31,True
recall5,bge_m3_hybrid_315,bge_m3_hybrid_513,0.0013353809174066903,0.0,-0.0006233328624667329,0.0032940946972801134,122,102,14753,1516281.0,0.18144920772142048,1.0,False
recall5,bge_m3_hybrid_315,bge_m3_hybrid_513_tk1000,0.0013353809174066903,0.0,-0.0006233328624667329,0.0032940946972801134,122,102,14753,1516281.0,0.18144920772142048,1.0,False
recall5,bge_m3_hybrid_315,bge_m3_hybrid_513_tk500,0.0013353809174066903,0.0,-0.0006233328624667329,0.0032940946972801134,122,102,14753,1516281.0,0.18144920772142048,1.0,False
recall5,bge_m3_hybrid_315,bge_m3_hybrid_514,-0.023569473192228085,0.0,-0.028209123075727965,-0.018929823308728205,456,809,13712,6541320.0,3.241823905868713e-23,5.8352830305636835e-22,True
recall5,bge_m3_hybrid_315,reranked_results,0.0827936168792148,0.0,0.07709870906722376,0.08848852469120584,1618,378,12981,5284251.0,1.5159439450469543e-169,5.30580380766434e-168,True
